DATATYPE	CNT	 TIME	 LPCX	 LPCY	 LPD	 LPS	 LPV	 RPCX	 RPCY	 RPD	 RPS	 RPV	 LEYEX	 LEYEY	 LEYEZ	 LPUPILD	 LPUPILV	 REYEX	 REYEY	 REYEZ	 RPUPILD	 RPUPILV	 BKID	 BKDUR	 BKPMIN	 USER	
SMP	97241	1601.30298	0.57135	0.53837	14.06559	1.00000	1	0.91091	0.56586	12.77204	1.00000	1	0.01391	-0.00539	0.63174	0.00394	1	0.07646	-0.00879	0.65580	0.00380	1	0	0.00000	23	START_RECORDING	
SMP	97242	1601.31946	0.56882	0.53806	13.55737	1.00000	1	0.90938	0.56640	13.79222	1.00000	1	0.01308	-0.00562	0.65206	0.00384	1	0.07195	-0.00834	0.62668	0.00358	1	0	0.00000	23	START_RECORDING	
SMP	97243	1601.33594	0.56477	0.53904	14.26932	1.00000	1	0.90508	0.56593	13.29584	1.00000	1	0.01308	-0.00562	0.65206	0.00373	1	0.07195	-0.00834	0.62668	0.00369	1	0	0.00000	23	START_RECORDING	
SMP	97244	1601.35229	0.56200	0.53961	13.86320	1.00000	1	0.90293	0.56626	12.94108	1.00000	1	0.01308	-0.00562	0.65206	0.00371	1	0.07195	-0.00834	0.62668	0.00367	1	0	0.00000	23	START_RECORDING	
SMP	97245	1601.36877	0.55920	0.53899	13.15172	1.00000	1	0.90114	0.56621	13.70376	1.00000	1	0.01133	-0.00579	0.65676	0.00377	1	0.07262	-0.00861	0.64675	0.00358	1	0	0.00000	23	START_RECORDING	
SMP	97246	1601.38525	0.55439	0.54061	14.29669	1.00000	1	0.89607	0.56568	13.35616	1.00000	1	0.01133	-0.00579	0.65676	0.00385	1	0.07262	-0.00861	0.64675	0.00374	1	0	0.00000	23	START_RECORDING	
SMP	97247	1601.40161	0.55117	0.54134	13.43947	1.00000	1	0.89367	0.56564	12.79809	1.00000	1	0.01133	-0.00579	0.65676	0.00374	1	0.07262	-0.00861	0.64675	0.00373	1	0	0.00000	23	START_RECORDING	
SMP	97248	1601.41809	0.54849	0.54109	13.13898	1.00000	1	0.89149	0.56621	13.88025	1.00000	1	0.00888	-0.00594	0.62771	0.00381	1	0.07150	-0.00868	0.65201	0.00346	1	0	0.00000	23	START_RECORDING	
SMP	97249	1601.43457	0.54421	0.54449	14.15631	1.00000	1	0.88682	0.56620	12.97839	1.00000	1	0.00888	-0.00594	0.62771	0.00376	1	0.07150	-0.00868	0.65201	0.00381	1	0	0.00000	23	START_RECORDING	
SMP	97250	1601.45093	0.54213	0.54601	14.35012	1.00000	1	0.88515	0.56673	13.11465	1.00000	1	0.00888	-0.00594	0.62771	0.00373	1	0.07150	-0.00868	0.65201	0.00373	1	0	0.00000	23	START_RECORDING	
SMP	97251	1601.46741	0.54008	0.54706	13.61387	1.00000	1	0.88334	0.56732	13.27676	1.00000	1	0.00786	-0.00677	0.64517	0.00386	1	0.06637	-0.00861	0.61635	0.00356	1	0	0.00000	23	START_RECORDING	
