,DATATYPE,CNT, TIME, LPCX, LPCY, LPD, LPS, LPV, RPCX, RPCY, RPD, RPS, RPV, LEYEX, LEYEY, LEYEZ, LPUPILD, LPUPILV, REYEX, REYEY, REYEZ, RPUPILD, RPUPILV, BKID, BKDUR, BKPMIN,EVENT,USER,
1,SMP,230567,3793.23218,0.40369,0.74416,13.72046,1.00000,1,0.71420,0.72380,14.25268,1.00000,1,-0.01873,-0.03222,0.70853,0.00386,1,0.04193,-0.02913,0.69678,0.00431,1,0,0.00000,22,START_RECORDING,,
2,SMP,230568,3793.24854,0.40357,0.74452,13.62567,1.00000,1,0.71423,0.72398,14.21315,1.00000,1,-0.01873,-0.03222,0.70853,0.00382,1,0.04193,-0.02913,0.69678,0.00428,1,0,0.00000,22,START_RECORDING,,
3,SMP,230569,3793.26514,0.40357,0.74452,13.62567,1.00000,1,0.71423,0.72398,14.21315,1.00000,1,-0.01873,-0.03222,0.70853,0.00382,1,0.04193,-0.02913,0.69678,0.00428,1,0,0.00000,22,START_RECORDING,,
4,SMP,230570,3793.28174,0.40372,0.74451,12.99586,1.00000,1,0.71440,0.72387,13.93593,1.00000,1,-0.01873,-0.03222,0.70853,0.00381,1,0.04193,-0.02913,0.69678,0.00426,1,0,0.00000,22,START_RECORDING,,
5,SMP,230571,3793.29810,0.40364,0.74424,13.40988,1.00000,1,0.71436,0.72368,14.06696,1.00000,1,-0.01873,-0.03222,0.70853,0.00382,1,0.04193,-0.02913,0.69678,0.00428,1,0,0.00000,22,START_RECORDING,,
6,SMP,230572,3793.31445,0.40364,0.74424,13.40988,1.00000,1,0.71436,0.72368,14.06696,1.00000,1,-0.01873,-0.03222,0.70853,0.00382,1,0.04193,-0.02913,0.69678,0.00428,1,0,0.00000,22,START_RECORDING,,
7,SMP,230573,3793.33081,0.40358,0.74421,13.20716,1.00000,1,0.71436,0.72368,14.06696,1.00000,1,-0.01873,-0.03222,0.70853,0.00383,1,0.04193,-0.02913,0.69678,0.00428,1,0,0.00000,22,START_RECORDING,,
8,SMP,230574,3793.34717,0.40358,0.74421,13.20716,1.00000,1,0.71454,0.72387,13.92845,1.00000,1,-0.01873,-0.03222,0.70853,0.00382,1,0.04193,-0.02913,0.69678,0.00440,1,0,0.00000,22,START_RECORDING,,
9,SMP,230575,3793.36377,0.40352,0.74417,13.15134,1.00000,1,0.71429,0.72376,14.04598,1.00000,1,-0.01950,-0.03322,0.73527,0.00377,1,0.04193,-0.02913,0.69678,0.00425,1,0,0.00000,22,START_RECORDING,,
10,SMP,230576,3793.38013,0.40182,0.74337,13.21298,1.00000,1,0.71203,0.72190,12.97151,1.00000,1,-0.01950,-0.03322,0.73527,0.00381,1,0.04193,-0.02913,0.69678,0.00399,1,0,0.00000,22,START_RECORDING,,
11,SMP,230577,3793.39673,0.40189,0.74336,13.27908,1.00000,1,0.71174,0.72174,13.17647,1.00000,1,-0.01950,-0.03322,0.73527,0.00383,1,0.04193,-0.02913,0.69678,0.00397,1,0,0.00000,22,START_RECORDING,,
